| genres                                              | movie_count |
| --------------------------------------------------- | ----------- |
| Drama                                               |         712 |
| Comedy                                              |         712 |
| Documentary                                         |         312 |
| Drama|Romance                                       |         289 |
| Comedy|Drama                                        |         280 |
| Comedy|Romance                                      |         268 |
| Horror|Thriller                                     |         259 |
| Horror                                              |         253 |
| Comedy|Drama|Romance                                |         222 |
| Drama|Thriller                                      |         138 |
| Comedy|Family                                       |         102 |
| Action|Thriller                                     |         101 |
| Thriller                                            |          93 |
| Drama|Comedy                                        |          92 |
| Animation|Family                                    |          90 |
| Crime|Drama|Thriller                                |          81 |
| Crime|Drama                                         |          74 |
| Comedy|Horror                                       |          72 |
| Drama|Comedy|Romance                                |          64 |
| Action                                              |          63 |
| Action|Comedy                                       |          62 |
| Drama|History                                       |          58 |
| Action|Crime|Drama|Thriller                         |          54 |
| Drama|Horror|Thriller                               |          53 |
| Horror|Science Fiction                              |          52 |
| Action|Crime|Thriller                               |          52 |
| Horror|Mystery|Thriller                             |          51 |
| Comedy|Crime                                        |          50 |
| Drama|Music                                         |          49 |
| Documentary|Music                                   |          49 |
| Thriller|Horror                                     |          47 |
| Animation|Comedy|Family                             |          47 |
| Action|Drama|Thriller                               |          47 |
| Drama|Family                                        |          46 |
| Drama|Crime                                         |          44 |
| Action|Adventure|Thriller                           |          42 |
| Comedy|Drama|Family                                 |          41 |
| Romance|Comedy                                      |          40 |
| Drama|Mystery|Thriller                              |          38 |
| Action|Comedy|Crime                                 |          37 |
| Science Fiction                                     |          36 |
| Romance|Drama                                       |          35 |
| Thriller|Drama                                      |          33 |
| Action|Science Fiction                              |          33 |
| Action|Adventure|Comedy                             |          33 |
| Horror|Science Fiction|Thriller                     |          32 |
| Animation                                           |          32 |
| Drama|Action|Thriller|Crime                         |          31 |
| Action|Drama                                        |          31 |
| Crime|Drama|Mystery|Thriller                        |          29 |
| Action|Thriller|Crime                               |          29 |
| Drama|War                                           |          27 |
| Drama|Thriller|Crime                                |          27 |
| Horror|Comedy                                       |          26 |
| Adventure|Action|Thriller                           |          26 |
| Science Fiction|Thriller                            |          25 |
| Mystery|Thriller                                    |          25 |
| Horror|Thriller|Mystery                             |          25 |
| Horror|Mystery                                      |          25 |
| Drama|History|War                                   |          25 |
| Comedy|Music                                        |          25 |
| Drama|Horror                                        |          24 |
| Comedy|Romance|Drama                                |          24 |
| Action|Adventure|Drama|Thriller                     |          24 |
| Thriller|Crime|Drama                                |          23 |
| Music                                               |          23 |
| Family|Animation                                    |          23 |
| Crime|Thriller                                      |          23 |
| Action|Thriller|Science Fiction                     |          23 |
| Action|Adventure|Science Fiction                    |          23 |
|                                                     |          23 |
| Romance|Comedy|Drama                                |          22 |
| Drama|Music|Romance                                 |          22 |
| Adventure                                           |          22 |
| Thriller|Mystery                                    |          21 |
| Drama|Foreign                                       |          21 |
| Comedy|Science Fiction                              |          21 |
| Drama|Thriller|Mystery                              |          20 |
| Animation|Comedy                                    |          20 |
| Action|Crime                                        |          20 |
| Drama|History|Romance                               |          19 |
| Western                                             |          18 |
| Drama|Science Fiction                               |          18 |
| Drama|Horror|Mystery|Thriller                       |          18 |
| Crime|Drama|Mystery                                 |          18 |
| Comedy|Crime|Drama                                  |          18 |
| Adventure|Drama                                     |          18 |
| Action|Science Fiction|Thriller                     |          18 |
| Action|Crime|Drama                                  |          17 |
| Music|Documentary                                   |          16 |
| History|Drama                                       |          16 |
| Family                                              |          16 |
| Drama|Mystery                                       |          16 |
| Adventure|Fantasy|Action                            |          16 |
| Action|Comedy|Thriller                              |          16 |
| Action|Adventure                                    |          15 |
| Thriller|Science Fiction                            |          14 |
| Thriller|Crime                                      |          14 |
| Drama|Romance|Thriller                              |          14 |
| Comedy|Family|Fantasy                               |          14 |
| Comedy|Documentary                                  |          14 |
| Adventure|Family|Fantasy                            |          14 |
| Adventure|Drama|Family                              |          14 |
| Adventure|Animation|Family                          |          14 |
| Action|Adventure|Drama|Family                       |          14 |
| Action|Adventure|Crime|Thriller                     |          14 |
| Thriller|Horror|Mystery                             |          13 |
| Music|Drama                                         |          13 |
| Horror|Thriller|Science Fiction                     |          13 |
| Drama|Thriller|Romance                              |          13 |
| Drama|Romance|Comedy                                |          13 |
| Drama|Fantasy                                       |          13 |
| Drama|Action|Thriller                               |          13 |
| Comedy|Western                                      |          13 |
| Adventure|Action|Thriller|Science Fiction           |          13 |
| Action|Adventure|Fantasy                            |          13 |
| Action|Adventure|Drama                              |          13 |
| Horror|Action|Thriller                              |          12 |
| Family|Comedy                                       |          12 |
| Drama|Science Fiction|Thriller                      |          12 |
| Drama|Romance|War                                   |          12 |
| Drama|Crime|Thriller                                |          12 |
| Drama|Action                                        |          12 |
| Comedy|Fantasy                                      |          12 |
| Comedy|Family|Science Fiction                       |          12 |
| Comedy|Drama|Family|Romance                         |          12 |
| Comedy|Adventure                                    |          12 |
| Adventure|Animation|Comedy|Family                   |          12 |
| Adventure|Action|Science Fiction                    |          12 |
| Adventure|Action                                    |          12 |
| Action|Western                                      |          12 |
| Action|Comedy|Science Fiction                       |          12 |
| Action|Adventure|Crime|Drama|Thriller               |          12 |
| Action|Adventure|Comedy|Family                      |          12 |
| War|Drama                                           |          11 |
| Science Fiction|Action|Adventure                    |          11 |
| Mystery|Horror|Thriller                             |          11 |
| Horror|Action|Thriller|Science Fiction              |          11 |
| Fantasy|Comedy|Family                               |          11 |
| Fantasy                                             |          11 |
| Drama|TV Movie                                      |          11 |
| Documentary|Drama                                   |          11 |
| Comedy|Horror|Science Fiction                       |          11 |
| Animation|Family|Comedy                             |          11 |
| Adventure|Fantasy|Family                            |          11 |
| Action|Comedy|Romance                               |          11 |
| Action|Adventure|Science Fiction|Thriller           |          11 |
| TV Movie|Drama                                      |          10 |
| Science Fiction|Action|Adventure|Thriller           |          10 |
| Fantasy|Horror                                      |          10 |
| Drama|Thriller|Crime|Mystery                        |          10 |
| Drama|Comedy|Romance|Foreign                        |          10 |
| Crime|Drama|Horror|Thriller                         |          10 |
| Comedy|Drama|Thriller                               |          10 |
| Comedy|Drama|Music                                  |          10 |
| Comedy|Crime|Thriller                               |          10 |
| Adventure|Comedy|Family                             |          10 |
| Adventure|Comedy                                    |          10 |
| Action|Horror|Science Fiction                       |          10 |
| Action|Crime|Drama|Mystery|Thriller                 |          10 |
| Thriller|Action|Crime                               |           9 |
| Thriller|Action                                     |           9 |
| Science Fiction|Horror                              |           9 |
| Romance                                             |           9 |
| Fantasy|Comedy|Science Fiction|Romance              |           9 |
| Fantasy|Comedy|Romance                              |           9 |
| Fantasy|Comedy                                      |           9 |
| Drama|Family|Romance                                |           9 |
| Documentary|History                                 |           9 |
| Crime|Comedy                                        |           9 |
| Comedy|Fantasy|Romance                              |           9 |
| Comedy|Family|Romance                               |           9 |
| Animation|Adventure|Family                          |           9 |
| Adventure|Family                                    |           9 |
| Action|Thriller|Crime|Drama                         |           9 |
| Action|Fantasy                                      |           9 |
| Action|Drama|Mystery|Thriller                       |           9 |
| Action|Comedy|Drama                                 |           9 |
| Action|Comedy|Crime|Thriller                        |           9 |
| Action|Adventure|Comedy|Thriller                    |           9 |
| Thriller|Horror|Science Fiction                     |           8 |
| Thriller|Drama|Crime                                |           8 |
| Mystery|Horror                                      |           8 |
| Horror|Drama|Thriller                               |           8 |
| Drama|Action|Crime                                  |           8 |
| Comedy|Music|Romance                                |           8 |
| Comedy|Drama|History                                |           8 |
| Comedy|Crime|Mystery                                |           8 |
| Adventure|Animation|Comedy|Family|Fantasy           |           8 |
| Action|Science Fiction|Adventure                    |           8 |
| Action|Drama|History|War                            |           8 |
| Action|Comedy|Foreign                               |           8 |
| Action|Comedy|Family                                |           8 |
| Action|Adventure|Fantasy|Science Fiction            |           8 |
| Thriller|Drama|Mystery                              |           7 |
| Thriller|Action|Drama                               |           7 |
| Science Fiction|Drama                               |           7 |
| Music|Drama|Romance                                 |           7 |
| Horror|Thriller|Drama                               |           7 |
| Fantasy|Action|Adventure                            |           7 |
| Family|Animation|Adventure                          |           7 |
| Family|Adventure                                    |           7 |
| Drama|Romance|Foreign                               |           7 |
| Drama|Horror|Science Fiction|Thriller               |           7 |
| Drama|Foreign|Romance                               |           7 |
| Documentary|Horror                                  |           7 |
| Documentary|Foreign                                 |           7 |
| Comedy|Horror|Thriller                              |           7 |
| Comedy|Drama|Science Fiction                        |           7 |
| Animation|Family|Fantasy                            |           7 |
| Animation|Comedy|Family|Fantasy                     |           7 |
| Animation|Comedy|Family|Adventure                   |           7 |
| Animation|Action|Science Fiction                    |           7 |
| Adventure|Science Fiction                           |           7 |
| Adventure|Documentary                               |           7 |
| Action|Horror|Science Fiction|Thriller              |           7 |
| Action|Drama|Western                                |           7 |
| Action|Comedy|Horror                                |           7 |
| Action|Adventure|Drama|Western                      |           7 |
| War|Action                                          |           6 |
| Thriller|Science Fiction|Mystery                    |           6 |
| Thriller|Drama|Horror                               |           6 |
| Thriller|Crime|Mystery                              |           6 |
| Thriller|Crime|Drama|Mystery                        |           6 |
| Science Fiction|Drama|Thriller                      |           6 |
| Science Fiction|Action|Thriller                     |           6 |
| Science Fiction|Action                              |           6 |
| Mystery|Thriller|Drama                              |           6 |
| Music|Comedy                                        |           6 |
| Horror|Mystery|Science Fiction                      |           6 |
| Horror|Comedy|Thriller                              |           6 |
| Horror|Action|Science Fiction                       |           6 |
| Horror|Action                                       |           6 |
| Fantasy|Horror|Thriller                             |           6 |
| Fantasy|Horror|Comedy                               |           6 |
| Fantasy|Drama                                       |           6 |
| Family|Fantasy                                      |           6 |
| Drama|Western                                       |           6 |
| Drama|Thriller|Crime|Romance                        |           6 |
| Drama|Documentary                                   |           6 |
| Drama|Comedy|Romance|Family                         |           6 |
| Documentary|Family                                  |           6 |
| Crime|Mystery|Thriller                              |           6 |
| Crime|Horror|Thriller                               |           6 |
| Crime|Drama|Romance|Thriller                        |           6 |
| Crime|Drama|Comedy                                  |           6 |
| Crime|Action|Thriller                               |           6 |
| Comedy|Thriller                                     |           6 |
| Comedy|Mystery                                      |           6 |
| Comedy|Foreign                                      |           6 |
| Comedy|Drama|Music|Romance                          |           6 |
| Comedy|Drama|Foreign                                |           6 |
| Comedy|Drama|Fantasy|Romance                        |           6 |
| Comedy|Drama|Family|TV Movie                        |           6 |
| Comedy|Crime|Drama|Thriller                         |           6 |
| Animation|Science Fiction                           |           6 |
| Animation|Family|Adventure                          |           6 |
| Animation|Drama                                     |           6 |
| Animation|Adventure|Comedy|Family|Fantasy           |           6 |
| Animation|Action|Adventure                          |           6 |
| Adventure|Fantasy|Science Fiction                   |           6 |
| Adventure|Fantasy                                   |           6 |
| Adventure|Drama|Action                              |           6 |
| Action|Thriller|Adventure                           |           6 |
| Action|Horror|Thriller                              |           6 |
| Action|Horror                                       |           6 |
| Action|History|War                                  |           6 |
| Action|Fantasy|Science Fiction                      |           6 |
| Action|Drama|History                                |           6 |
| Action|Adventure|Crime                              |           6 |
| Action|Adventure|Comedy|Romance                     |           6 |
| Western|Drama                                       |           5 |
| War                                                 |           5 |
| Science Fiction|Action|Horror                       |           5 |
| Romance|Drama|Comedy                                |           5 |
| Mystery|Drama|Thriller                              |           5 |
| Mystery|Drama                                       |           5 |
| Horror|Thriller|Crime                               |           5 |
| Fantasy|Science Fiction                             |           5 |
| Fantasy|Horror|Science Fiction                      |           5 |
| Fantasy|Family                                      |           5 |
| Fantasy|Drama|Romance                               |           5 |
| Fantasy|Drama|Family                                |           5 |
| Fantasy|Animation|Science Fiction|Family            |           5 |
| Fantasy|Animation|Family                            |           5 |
| Family|Animation|Adventure|Comedy                   |           5 |
| Drama|Thriller|Horror                               |           5 |
| Drama|Romance|Science Fiction                       |           5 |
| Drama|Mystery|Thriller|Crime                        |           5 |
| Drama|Mystery|Science Fiction|Thriller              |           5 |
| Drama|History|Thriller                              |           5 |
| Drama|Fantasy|Science Fiction                       |           5 |
| Drama|Fantasy|Horror                                |           5 |
| Drama|Family|Fantasy                                |           5 |
| Drama|Comedy|Foreign                                |           5 |
| Drama|Comedy|Crime                                  |           5 |
| Drama|Action|Crime|Thriller                         |           5 |
| Comedy|Fantasy|Science Fiction                      |           5 |
| Comedy|Fantasy|Horror                               |           5 |
| Comedy|Family|Drama                                 |           5 |
| Comedy|Drama|Horror                                 |           5 |
| Comedy|Drama|Family|Music|TV Movie                  |           5 |
| Comedy|Animation|Family                             |           5 |
| Comedy|Action                                       |           5 |
| Animation|Fantasy                                   |           5 |
| Animation|Comedy|Science Fiction                    |           5 |
| Animation|Adventure|Family|Fantasy                  |           5 |
| Animation|Adventure|Comedy|Family                   |           5 |
| Adventure|Science Fiction|Action                    |           5 |
| Adventure|Fantasy|Action|Science Fiction            |           5 |
| Adventure|Comedy|Science Fiction                    |           5 |
| Adventure|Comedy|Romance                            |           5 |
| Adventure|Comedy|Drama                              |           5 |
| Adventure|Action|Comedy                             |           5 |
| Action|Thriller|War                                 |           5 |
| Action|Mystery|Thriller                             |           5 |
| Action|Drama|War                                    |           5 |
| Action|Comedy|Drama|Thriller                        |           5 |
| Action|Animation|Science Fiction                    |           5 |
| Action|Adventure|Fantasy|TV Movie                   |           5 |
| Action|Adventure|Drama|History                      |           5 |
| Action|Adventure|Crime|Drama|Mystery                |           5 |
| Action|Adventure|Comedy|Science Fiction             |           5 |
| Action|Adventure|Comedy|Drama                       |           5 |
| Action|Adventure|Comedy|Crime                       |           5 |
| War|Drama|History                                   |           4 |
| Thriller|Mystery|Science Fiction                    |           4 |
| Thriller|Action|Science Fiction                     |           4 |
| Thriller|Action|Comedy|Crime                        |           4 |
| Science Fiction|TV Movie                            |           4 |
| Science Fiction|Animation                           |           4 |
| Science Fiction|Action|Drama|Thriller               |           4 |
